timestamp,predicted_value,change_pct,direction,trend,confidence,volatility_regime,horizon,interval_90,interval_50,interval_95,calibration_samples
2026-03-17T08:00:00,74085.52,1e-06,0,FLAT,0.8811,normal,1,"{'lower': np.float64(74075.53), 'upper': np.float64(74096.26), 'width': np.float64(20.73)}","{'lower': np.float64(74083.1), 'upper': np.float64(74087.51), 'width': np.float64(4.41)}","{'lower': np.float64(74070.19), 'upper': np.float64(74101.02), 'width': np.float64(30.83)}",301
2026-03-17T09:00:00,74083.91,-2.1e-05,0,FLAT,0.7173,normal,2,"{'lower': np.float64(74063.24), 'upper': np.float64(74106.9), 'width': np.float64(43.66)}","{'lower': np.float64(74078.57), 'upper': np.float64(74088.76), 'width': np.float64(10.19)}","{'lower': np.float64(74051.75), 'upper': np.float64(74116.52), 'width': np.float64(64.77)}",301
2026-03-17T10:00:00,74082.2,-4.4e-05,0,FLAT,0.6674,normal,3,"{'lower': np.float64(74051.09), 'upper': np.float64(74117.45), 'width': np.float64(66.36)}","{'lower': np.float64(74073.95), 'upper': np.float64(74089.93), 'width': np.float64(15.98)}","{'lower': np.float64(74033.23), 'upper': np.float64(74131.94), 'width': np.float64(98.7)}",301
2026-03-17T11:00:00,74080.47,-6.7e-05,0,FLAT,0.6393,normal,4,"{'lower': np.float64(74038.91), 'upper': np.float64(74127.97), 'width': np.float64(89.06)}","{'lower': np.float64(74069.31), 'upper': np.float64(74091.07), 'width': np.float64(21.76)}","{'lower': np.float64(74014.69), 'upper': np.float64(74147.33), 'width': np.float64(132.64)}",301
2026-03-17T12:00:00,74078.74,-9.1e-05,0,FLAT,0.6167,normal,5,"{'lower': np.float64(74026.73), 'upper': np.float64(74138.49), 'width': np.float64(111.76)}","{'lower': np.float64(74064.86), 'upper': np.float64(74092.17), 'width': np.float64(27.31)}","{'lower': np.float64(73996.13), 'upper': np.float64(74160.08), 'width': np.float64(163.95)}",301
2026-03-17T13:00:00,74076.98,-0.000114,0,FLAT,0.5958,normal,6,"{'lower': np.float64(74014.52), 'upper': np.float64(74147.79), 'width': np.float64(133.27)}","{'lower': np.float64(74061.17), 'upper': np.float64(74092.96), 'width': np.float64(31.79)}","{'lower': np.float64(73977.56), 'upper': np.float64(74174.2), 'width': np.float64(196.65)}",301
2026-03-17T14:00:00,74075.2,-0.000139,0,FLAT,0.5748,normal,7,"{'lower': np.float64(74002.5), 'upper': np.float64(74149.18), 'width': np.float64(146.68)}","{'lower': np.float64(74056.66), 'upper': np.float64(74093.2), 'width': np.float64(36.54)}","{'lower': np.float64(73958.96), 'upper': np.float64(74188.9), 'width': np.float64(229.94)}",301
2026-03-17T15:00:00,74073.41,-0.000163,0,FLAT,0.5539,normal,8,"{'lower': np.float64(73994.06), 'upper': np.float64(74158.16), 'width': np.float64(164.1)}","{'lower': np.float64(74052.13), 'upper': np.float64(74094.0), 'width': np.float64(41.87)}","{'lower': np.float64(73940.41), 'upper': np.float64(74203.58), 'width': np.float64(263.17)}",301
2026-03-17T16:00:00,74071.62,-0.000187,0,FLAT,0.5339,normal,9,"{'lower': np.float64(73982.21), 'upper': np.float64(74167.14), 'width': np.float64(184.93)}","{'lower': np.float64(74047.61), 'upper': np.float64(74094.87), 'width': np.float64(47.26)}","{'lower': np.float64(73923.49), 'upper': np.float64(74218.26), 'width': np.float64(294.77)}",301
2026-03-17T17:00:00,74069.82,-0.000211,0,FLAT,0.5147,normal,10,"{'lower': np.float64(73970.37), 'upper': np.float64(74176.12), 'width': np.float64(205.75)}","{'lower': np.float64(74043.08), 'upper': np.float64(74095.76), 'width': np.float64(52.68)}","{'lower': np.float64(73905.05), 'upper': np.float64(74232.94), 'width': np.float64(327.88)}",301
2026-03-17T18:00:00,74068.03,-0.000235,0,FLAT,0.4964,normal,11,"{'lower': np.float64(73958.52), 'upper': np.float64(74184.65), 'width': np.float64(226.13)}","{'lower': np.float64(74038.56), 'upper': np.float64(74097.75), 'width': np.float64(59.19)}","{'lower': np.float64(73886.62), 'upper': np.float64(74245.03), 'width': np.float64(358.41)}",301
2026-03-17T19:00:00,74066.24,-0.000259,-1,DOWN,0.479,normal,12,"{'lower': np.float64(73946.68), 'upper': np.float64(74192.02), 'width': np.float64(245.35)}","{'lower': np.float64(74031.91), 'upper': np.float64(74099.31), 'width': np.float64(67.4)}","{'lower': np.float64(73868.19), 'upper': np.float64(74255.69), 'width': np.float64(387.5)}",301
2026-03-17T20:00:00,74064.45,-0.000284,-1,DOWN,0.4622,normal,13,"{'lower': np.float64(73934.83), 'upper': np.float64(74192.7), 'width': np.float64(257.87)}","{'lower': np.float64(74028.98), 'upper': np.float64(74099.36), 'width': np.float64(70.38)}","{'lower': np.float64(73849.76), 'upper': np.float64(74269.83), 'width': np.float64(420.07)}",301
2026-03-17T21:00:00,74062.66,-0.000308,-1,DOWN,0.446,normal,14,"{'lower': np.float64(73922.99), 'upper': np.float64(74193.38), 'width': np.float64(270.39)}","{'lower': np.float64(74024.98), 'upper': np.float64(74100.33), 'width': np.float64(75.34)}","{'lower': np.float64(73831.33), 'upper': np.float64(74283.97), 'width': np.float64(452.64)}",301
2026-03-17T22:00:00,74060.87,-0.000332,-1,DOWN,0.4304,normal,15,"{'lower': np.float64(73908.53), 'upper': np.float64(74200.91), 'width': np.float64(292.38)}","{'lower': np.float64(74020.46), 'upper': np.float64(74101.1), 'width': np.float64(80.63)}","{'lower': np.float64(73812.9), 'upper': np.float64(74298.11), 'width': np.float64(485.21)}",301
2026-03-17T23:00:00,74059.09,-0.000356,-1,DOWN,0.4152,normal,16,"{'lower': np.float64(73893.83), 'upper': np.float64(74208.55), 'width': np.float64(314.72)}","{'lower': np.float64(74013.68), 'upper': np.float64(74101.37), 'width': np.float64(87.7)}","{'lower': np.float64(73794.47), 'upper': np.float64(74312.25), 'width': np.float64(517.78)}",301
2026-03-18T00:00:00,74057.31,-0.00038,-1,DOWN,0.4005,normal,17,"{'lower': np.float64(73880.67), 'upper': np.float64(74216.11), 'width': np.float64(335.43)}","{'lower': np.float64(74008.41), 'upper': np.float64(74102.26), 'width': np.float64(93.85)}","{'lower': np.float64(73776.05), 'upper': np.float64(74326.4), 'width': np.float64(550.35)}",301
2026-03-18T01:00:00,74055.53,-0.000404,-1,DOWN,0.3862,normal,18,"{'lower': np.float64(73875.69), 'upper': np.float64(74223.63), 'width': np.float64(347.94)}","{'lower': np.float64(74003.72), 'upper': np.float64(74103.75), 'width': np.float64(100.03)}","{'lower': np.float64(73757.63), 'upper': np.float64(74340.54), 'width': np.float64(582.92)}",301
2026-03-18T02:00:00,74053.75,-0.000428,-1,DOWN,0.3725,normal,19,"{'lower': np.float64(73869.64), 'upper': np.float64(74230.65), 'width': np.float64(361.0)}","{'lower': np.float64(73999.03), 'upper': np.float64(74104.13), 'width': np.float64(105.1)}","{'lower': np.float64(73739.21), 'upper': np.float64(74354.69), 'width': np.float64(615.48)}",301
2026-03-18T03:00:00,74051.97,-0.000452,-1,DOWN,0.3592,normal,20,"{'lower': np.float64(73859.89), 'upper': np.float64(74232.19), 'width': np.float64(372.3)}","{'lower': np.float64(73994.35), 'upper': np.float64(74104.22), 'width': np.float64(109.87)}","{'lower': np.float64(73720.79), 'upper': np.float64(74368.85), 'width': np.float64(648.05)}",301
2026-03-18T04:00:00,74050.2,-0.000476,-1,DOWN,0.3464,normal,21,"{'lower': np.float64(73851.08), 'upper': np.float64(74238.04), 'width': np.float64(386.96)}","{'lower': np.float64(73989.67), 'upper': np.float64(74105.11), 'width': np.float64(115.44)}","{'lower': np.float64(73702.38), 'upper': np.float64(74383.0), 'width': np.float64(680.62)}",301
2026-03-18T05:00:00,74048.43,-0.0005,-1,DOWN,0.3341,normal,22,"{'lower': np.float64(73844.09), 'upper': np.float64(74246.14), 'width': np.float64(402.06)}","{'lower': np.float64(73984.99), 'upper': np.float64(74106.01), 'width': np.float64(121.01)}","{'lower': np.float64(73683.97), 'upper': np.float64(74397.16), 'width': np.float64(713.19)}",301
2026-03-18T06:00:00,74046.66,-0.000524,-1,DOWN,0.3221,normal,23,"{'lower': np.float64(73833.77), 'upper': np.float64(74252.51), 'width': np.float64(418.73)}","{'lower': np.float64(73981.87), 'upper': np.float64(74106.53), 'width': np.float64(124.65)}","{'lower': np.float64(73665.56), 'upper': np.float64(74411.32), 'width': np.float64(745.76)}",301
2026-03-18T07:00:00,74044.9,-0.000547,-1,DOWN,0.3106,normal,24,"{'lower': np.float64(73822.76), 'upper': np.float64(74254.63), 'width': np.float64(431.87)}","{'lower': np.float64(73978.96), 'upper': np.float64(74107.04), 'width': np.float64(128.07)}","{'lower': np.float64(73647.16), 'upper': np.float64(74425.48), 'width': np.float64(778.33)}",301
2026-03-18T08:00:00,74043.14,-0.000571,-1,DOWN,0.2995,normal,25,"{'lower': np.float64(73810.39), 'upper': np.float64(74265.9), 'width': np.float64(455.52)}","{'lower': np.float64(73971.98), 'upper': np.float64(74107.89), 'width': np.float64(135.91)}","{'lower': np.float64(73628.76), 'upper': np.float64(74439.65), 'width': np.float64(810.89)}",301
