$id,instrumentId,marketId,timestamp_column,open,high,low,close,tickCount,volume,qaVolume,takerBuyBAVolume,takerBuyQAVolume
4369,1,1,2025-09-16 08:00:00+00:00,115839.99,115981.17,115526.5,115658.76,65719,463.00777,53608872.3830909,210.59214,24380846.2417594
4368,1,1,2025-09-16 09:00:00+00:00,115658.76,115720.0,115443.65,115477.27,40383,286.71309,33145658.765972,112.80476,13040777.3842626
4367,1,1,2025-09-16 10:00:00+00:00,115477.28,115590.49,115372.35,115372.46,70561,292.6133,33787624.8413011,152.30386,17586548.3957054
4366,1,1,2025-09-16 11:00:00+00:00,115372.47,115431.52,115206.15,115287.83,62369,303.19825,34966227.8298595,166.96193,19255097.6149421
4365,1,1,2025-09-16 12:00:00+00:00,115287.84,115460.2,115287.38,115439.36,71674,296.84884,34253225.7321869,158.41152,18279204.5230772
4364,1,1,2025-09-16 13:00:00+00:00,115439.36,115558.06,114737.11,115200.0,210433,1064.59506,122614907.6704964,465.61876,53629317.088241
4363,1,1,2025-09-16 14:00:00+00:00,115200.0,115306.71,114811.0,115296.86,134908,607.41382,69913882.1323022,332.84762,38310618.4157458
4362,1,1,2025-09-16 15:00:00+00:00,115296.86,115905.89,115010.66,115905.88,113188,653.80057,75404431.0554416,299.76262,34610610.8388685
4361,1,1,2025-09-16 16:00:00+00:00,115905.88,116068.92,115608.28,116068.06,137220,691.27604,80092227.3476458,394.32437,45694001.2155326
4360,1,1,2025-09-16 17:00:00+00:00,116068.05,116870.76,116056.99,116461.54,195519,1252.39334,145931742.1792644,664.33016,77389472.0808934
4359,1,1,2025-09-16 18:00:00+00:00,116461.55,116776.66,116226.12,116418.86,117209,486.09455,56648807.7126473,226.77874,26429657.7972222
4358,1,1,2025-09-16 19:00:00+00:00,116418.87,116820.0,116395.6,116800.12,84719,525.61626,61296010.3419136,275.80494,32162443.2337088
4357,1,1,2025-09-16 20:00:00+00:00,116800.13,116908.83,116722.56,116839.47,61589,367.21592,42901651.853089,183.33287,21420025.9379449
4356,1,1,2025-09-16 21:00:00+00:00,116839.47,116940.26,116584.45,116800.51,48796,295.98351,34558249.1532842,123.71176,14446725.3633537
4355,1,1,2025-09-16 22:00:00+00:00,116800.51,116964.27,116694.73,116855.58,44749,312.66858,36537269.8895105,165.45607,19336927.0630197
4354,1,1,2025-09-16 23:00:00+00:00,116855.58,116920.46,116632.0,116788.96,43039,262.99472,30720217.931858,117.6504,13744542.588396
4353,1,1,2025-09-17 00:00:00+00:00,116788.96,116832.0,116560.0,116560.01,60701,269.7236,31468748.7645549,101.70973,11865956.530612
4352,1,1,2025-09-17 01:00:00+00:00,116560.01,116768.0,116516.92,116662.25,64854,267.74519,31227288.7787998,114.07214,13303857.197058
4351,1,1,2025-09-17 02:00:00+00:00,116662.25,117077.16,116556.52,116686.43,96085,742.4537,86758738.5605836,461.74914,53967973.2029318
4350,1,1,2025-09-17 03:00:00+00:00,116686.43,116758.83,116371.81,116372.04,68506,377.8305,44036563.7061494,138.10389,16097389.2986271
4349,1,1,2025-09-17 04:00:00+00:00,116372.05,116480.01,116160.22,116313.49,48475,262.15716,30489807.6611839,109.8434,12775093.4310457
4348,1,1,2025-09-17 05:00:00+00:00,116313.5,117214.0,116313.49,117108.3,120175,894.88999,104514221.0172734,539.18434,62973541.5814245
4347,1,1,2025-09-17 06:00:00+00:00,117108.31,117286.73,116970.41,117234.27,95943,770.01131,90177549.436854,387.91854,45438049.2612324
4346,1,1,2025-09-17 07:00:00+00:00,117234.28,117275.0,117125.78,117162.48,67356,557.97471,65402912.2825787,208.02501,24383731.5312095
4345,1,1,2025-09-17 08:00:00+00:00,117162.48,117189.86,116683.99,116860.0,101367,635.73334,74308455.7904759,201.8426,23590093.056835
4344,1,1,2025-09-17 09:00:00+00:00,116860.01,116860.01,116548.88,116550.01,50255,380.39506,44386083.5027581,150.73793,17590790.5238063
4343,1,1,2025-09-17 10:00:00+00:00,116550.01,116604.26,116267.44,116359.14,59384,356.93808,41557332.6033079,120.96476,14081016.6732304
4342,1,1,2025-09-17 11:00:00+00:00,116359.14,116383.87,116253.27,116258.13,64620,282.02162,32800761.9572452,142.85085,16614704.5683952
4341,1,1,2025-09-17 12:00:00+00:00,116258.12,116516.93,116096.41,116204.94,83670,387.04674,45003609.263755,200.72153,23339447.1818161
4340,1,1,2025-09-17 13:00:00+00:00,116204.94,116330.75,115905.88,116107.19,194271,664.85629,77205608.6779156,289.91295,33668674.9550371
4339,1,1,2025-09-17 14:00:00+00:00,116107.18,116240.0,115432.0,115606.61,204018,1214.53614,140573642.1822756,580.17562,67153122.2961632
4338,1,1,2025-09-17 15:00:00+00:00,115606.62,115886.17,115527.48,115875.32,98799,581.89144,67327430.5980052,361.01581,41767961.5154924
4337,1,1,2025-09-17 16:00:00+00:00,115875.33,115875.33,115386.21,115640.77,117442,659.4146,76210618.6839004,259.23125,29962649.7831192
4336,1,1,2025-09-17 17:00:00+00:00,115640.76,116288.27,115500.0,115504.48,154261,696.96558,80767905.5071013,386.6326,44806048.8736179
4335,1,1,2025-09-17 18:00:00+00:00,115504.49,116333.33,114720.81,115226.93,663014,3427.38872,395906451.0396723,1655.51511,191255010.097678
4334,1,1,2025-09-17 19:00:00+00:00,115226.93,115989.2,115068.33,115652.02,336917,955.04331,110428213.9482861,496.16775,57369129.0751497
4333,1,1,2025-09-17 20:00:00+00:00,115652.02,116140.2,115496.68,115621.47,104944,455.26463,52732219.0553146,234.03184,27108901.107418
4332,1,1,2025-09-17 21:00:00+00:00,115621.47,116120.0,115307.33,116038.39,93951,336.05085,38911404.8745251,144.8326,16770745.5344409
4331,1,1,2025-09-17 22:00:00+00:00,116038.39,116823.72,116038.39,116559.69,133074,741.17447,86245192.1893079,333.53397,38811785.3285816
4330,1,1,2025-09-17 23:00:00+00:00,116559.68,116990.68,116340.07,116447.59,145336,836.73837,97642944.5399218,356.22854,41586438.228157
4329,1,1,2025-09-18 00:00:00+00:00,116447.6,116470.52,116092.76,116350.65,125352,442.99009,51518554.1719145,217.10311,25248825.1777984
4328,1,1,2025-09-18 01:00:00+00:00,116350.65,116869.46,116340.0,116634.84,108967,440.77649,51404424.7913976,254.15229,29638612.8563189
4327,1,1,2025-09-18 02:00:00+00:00,116634.84,116959.96,116429.55,116950.47,76982,318.2136,37137565.9656896,162.36061,18954491.1823496
4326,1,1,2025-09-18 03:00:00+00:00,116950.46,117896.0,116896.93,117581.66,234233,1879.7006,220901850.1529643,918.49311,107892921.9817071
4325,1,1,2025-09-18 04:00:00+00:00,117581.67,117750.0,117219.5,117605.16,88581,612.3817,71953719.8148844,251.01331,29494857.5384018
4324,1,1,2025-09-18 05:00:00+00:00,117605.16,117605.16,117176.1,117273.36,57510,340.19852,39920601.5898801,111.086,13033693.2581923
